year,state.code,state.name,gender.female.math,gender.female.verbal,female.total.score,gender.male.math,gender.male.verbal,male.total.score
2008,VA,Virginia,498,511,1009,529,512,1041
2008,WA,Washington,517,524,1041,552,528,1080
2008,WV,West Virginia,485,509,994,522,516,1038
2008,WI,Wisconsin,588,585,1173,623,589,1212
2008,WY,Wyoming,544,560,1104,603,564,1167
2009,AL,Alabama,534,553,1087,575,563,1138
2009,AK,Alaska,534,553,1087,575,563,1138
2009,AZ,Arizona,505,515,1020,541,518,1059
2009,AR,Arkansas,553,569,1122,593,576,1169
2009,CA,California,495,496,991,536,505,1041
2009,CO,Colorado,558,566,1124,594,570,1164
2009,CT,Connecticut,498,508,1006,530,511,1041
2009,DE,Delaware,480,491,971,518,500,1018
2009,DC,District Of Columbia,431,458,889,474,475,949
2009,FL,Florida,482,495,977,516,499,1015
2009,GA,Georgia,476,488,964,509,493,1002
2009,HI,Hawaii,488,479,967,518,478,996
2009,ID,Idaho,525,539,1064,558,543,1101
2009,IL,Illinois,584,583,1167,627,593,1220
2009,IN,Indiana,489,490,979,528,502,1030
2009,IA,Iowa,600,611,1211,632,608,1240
2009,KS,Kansas,572,581,1153,608,581,1189
2009,KY,Kentucky,555,571,1126,594,575,1169
2009,LA,Louisiana,537,551,1088,582,576,1158
2009,ME,Maine,459,474,933,475,462,937
2009,MD,Maryland,487,498,985,520,501,1021
2009,MA,Massachusetts,510,511,1021,543,517,1060
2009,MI,Michigan,583,581,1164,625,587,1212
2009,MN,Minnesota,592,596,1188,628,594,1222
2009,MS,Mississippi,529,555,1084,583,580,1163
2009,MO,Missouri,582,594,1176,618,595,1213
2009,MT,Montana,525,538,1063,563,544,1107
2009,NE,Nebraska,572,581,1153,622,594,1216
2009,NV,Nevada,490,501,991,522,500,1022
2009,NH,New Hampshire,505,520,1025,543,525,1068
2009,NJ,New Jersey,497,493,990,531,499,1030
2009,NM,New Mexico,526,549,1075,570,558,1128
2009,NY,New York,487,483,970,519,488,1007
2009,NC,North Carolina,498,493,991,528,498,1026
2009,ND,North Dakota,574,591,1165,614,589,1203
2009,OH,Ohio,527,533,1060,567,543,1110
2009,OK,Oklahoma,547,570,1117,597,582,1179
2009,OR,Oregon,508,520,1028,546,525,1071
2009,PA,Pennsylvania,485,489,974,521,497,1018
2009,RI,Rhode Island,480,494,974,516,502,1018
2009,SC,South Carolina,482,483,965,512,489,1001
2009,SD,South Dakota,580,588,1168,623,591,1214
2009,TN,Tennessee,545,566,1111,588,578,1166
2009,TX,Texas,492,483,975,522,488,1010
2009,UT,Utah,539,559,1098,577,559,1136
2009,VT,Vermont,504,517,1021,535,519,1054
2009,VA,Virginia,496,509,1005,529,514,1043
2009,WA,Washington,515,522,1037,550,527,1077
2009,WV,West Virginia,486,509,995,521,513,1034
2009,WI,Wisconsin,589,591,1180,629,598,1227
2009,WY,Wyoming,542,559,1101,606,577,1183
2010,AL,Alabama,528,549,1077,578,567,1145
2010,AK,Alaska,501,518,1019,533,519,1052
2010,AZ,Arizona,508,516,1024,546,522,1068
2010,AR,Arkansas,547,563,1110,590,569,1159
2010,CA,California,497,496,993,539,507,1046
2010,CO,Colorado,554,566,1120,594,570,1164
2010,CT,Connecticut,497,507,1004,531,512,1043
2010,DE,Delaware,479,490,969,515,498,1013
2010,DC,District Of Columbia,435,459,894,479,482,961
2010,FL,Florida,483,495,978,516,497,1013
2010,GA,Georgia,475,486,961,508,492,1000
2010,HI,Hawaii,493,482,975,518,484,1002
2010,ID,Idaho,523,542,1065,561,545,1106
2010,IL,Illinois,582,581,1163,620,589,1209
2010,IN,Indiana,523,542,1065,561,545,1106
2010,IA,Iowa,592,599,1191,637,607,1244
2010,KS,Kansas,583,590,1173,607,589,1196
2010,KY,Kentucky,556,572,1128,595,578,1173
2010,LA,Louisiana,531,549,1080,575,564,1139
2010,ME,Maine,461,476,937,473,461,934
2010,MD,Maryland,489,499,988,525,503,1028
2010,MA,Massachusetts,510,509,1019,545,516,1061
2010,MI,Michigan,588,584,1172,624,587,1211
2010,MN,Minnesota,588,593,1181,629,596,1225
2010,MS,Mississippi,533,566,1099,567,566,1133
2010,MO,Missouri,588,584,1172,624,587,1211
2010,MT,Montana,588,593,1181,629,596,1225
2010,NE,Nebraska,569,576,1145,621,595,1216
2010,NV,Nevada,483,493,976,523,500,1023
2010,NH,New Hampshire,508,517,1025,542,524,1066
2010,NJ,New Jersey,498,493,991,532,498,1030
2010,NM,New Mexico,533,553,1086,567,552,1119
2010,NY,New York,485,482,967,516,487,1003
2010,NC,North Carolina,499,496,995,526,498,1024
2010,ND,North Dakota,578,587,1165,616,572,1188
2010,OH,Ohio,529,535,1064,569,543,1112
2010,OK,Oklahoma,545,565,1110,594,574,1168
2010,OR,Oregon,506,519,1025,547,527,1074
2010,PA,Pennsylvania,485,490,975,519,494,1013
2010,RI,Rhode Island,479,491,970,514,498,1012
2010,SC,South Carolina,482,483,965,511,487,998
2010,SD,South Dakota,575,578,1153,632,607,1239
2010,TN,Tennessee,552,574,1126,592,577,1169
2010,TX,Texas,491,481,972,522,488,1010
2010,UT,Utah,546,570,1116,573,565,1138
2010,VT,Vermont,504,516,1020,541,522,1063
2010,VA,Virginia,496,510,1006,531,514,1045
2010,WA,Washington,515,522,1037,551,527,1078
2010,WV,West Virginia,489,511,1000,530,521,1051
2010,WI,Wisconsin,587,596,1183,623,593,1216
2010,WY,Wyoming,555,569,1124,583,571,1154
2011,AL,Alabama,522,540,1062,564,553,1117
2011,AK,Alaska,495,511,1006,530,519,1049
2011,AZ,Arizona,506,513,1019,544,521,1065
2011,AR,Arkansas,552,561,1113,592,575,1167
2011,CA,California,498,494,992,536,505,1041
2011,CO,Colorado,558,570,1128,592,569,1161
2011,CT,Connecticut,499,507,1006,528,511,1039
2011,DE,Delaware,475,484,959,508,494,1002
2011,DC,District Of Columbia,436,457,893,481,483,964
2011,FL,Florida,476,487,963,505,488,993
2011,GA,Georgia,474,484,958,502,488,990
2011,HI,Hawaii,487,476,963,516,482,998
2011,ID,Idaho,522,540,1062,557,544,1101
2011,IL,Illinois,600,595,1195,635,603,1238
2011,IN,Indiana,485,489,974,519,497,1016
2011,IA,Iowa,586,591,1177,627,602,1229
2011,KS,Kansas,576,579,1155,608,581,1189
2011,KY,Kentucky,551,571,1122,594,581,1175
2011,LA,Louisiana,529,546,1075,577,567,1144
2011,ME,Maine,462,474,936,476,465,941
2011,MD,Maryland,487,497,984,518,502,1020
2011,MA,Massachusetts,512,509,1021,544,518,1062
2011,MI,Michigan,587,580,1167,624,586,1210
2011,MN,Minnesota,588,588,1176,630,598,1228
