year,state.code,state.name,female.total.score,male.total.score
2009,WI,Wisconsin,1180,1227
2009,WY,Wyoming,1101,1183
2010,AL,Alabama,1077,1145
2010,AK,Alaska,1019,1052
2010,AZ,Arizona,1024,1068
2010,AR,Arkansas,1110,1159
2010,CA,California,993,1046
2010,CO,Colorado,1120,1164
2010,CT,Connecticut,1004,1043
2010,DE,Delaware,969,1013
2010,DC,District Of Columbia,894,961
2010,FL,Florida,978,1013
2010,GA,Georgia,961,1000
2010,HI,Hawaii,975,1002
2010,ID,Idaho,1065,1106
2010,IL,Illinois,1163,1209
2010,IN,Indiana,1065,1106
2010,IA,Iowa,1191,1244
2010,KS,Kansas,1173,1196
2010,KY,Kentucky,1128,1173
2010,LA,Louisiana,1080,1139
2010,ME,Maine,937,934
2010,MD,Maryland,988,1028
2010,MA,Massachusetts,1019,1061
2010,MI,Michigan,1172,1211
2010,MN,Minnesota,1181,1225
2010,MS,Mississippi,1099,1133
2010,MO,Missouri,1172,1211
2010,MT,Montana,1181,1225
2010,NE,Nebraska,1145,1216
2010,NV,Nevada,976,1023
2010,NH,New Hampshire,1025,1066
2010,NJ,New Jersey,991,1030
2010,NM,New Mexico,1086,1119
2010,NY,New York,967,1003
2010,NC,North Carolina,995,1024
2010,ND,North Dakota,1165,1188
2010,OH,Ohio,1064,1112
2010,OK,Oklahoma,1110,1168
2010,OR,Oregon,1025,1074
2010,PA,Pennsylvania,975,1013
2010,RI,Rhode Island,970,1012
2010,SC,South Carolina,965,998
2010,SD,South Dakota,1153,1239
2010,TN,Tennessee,1126,1169
2010,TX,Texas,972,1010
2010,UT,Utah,1116,1138
2010,VT,Vermont,1020,1063
2010,VA,Virginia,1006,1045
2010,WA,Washington,1037,1078
2010,WV,West Virginia,1000,1051
2010,WI,Wisconsin,1183,1216
2010,WY,Wyoming,1124,1154
2011,AL,Alabama,1062,1117
2011,AK,Alaska,1006,1049
2011,AZ,Arizona,1019,1065
2011,AR,Arkansas,1113,1167
2011,CA,California,992,1041
2011,CO,Colorado,1128,1161
2011,CT,Connecticut,1006,1039
2011,DE,Delaware,959,1002
2011,DC,District Of Columbia,893,964
2011,FL,Florida,963,993
2011,GA,Georgia,958,990
2011,HI,Hawaii,963,998
2011,ID,Idaho,1062,1101
2011,IL,Illinois,1195,1238
2011,IN,Indiana,974,1016
2011,IA,Iowa,1177,1229
2011,KS,Kansas,1155,1189
2011,KY,Kentucky,1122,1175
2011,LA,Louisiana,1075,1144
2011,ME,Maine,936,941
2011,MD,Maryland,984,1020
2011,MA,Massachusetts,1021,1062
2011,MI,Michigan,1167,1210
2011,MN,Minnesota,1176,1228
2011,MS,Mississippi,1065,1160
2011,MO,Missouri,1164,1206
2011,MT,Montana,1064,1089
2011,NE,Nebraska,1155,1198
2011,NV,Nevada,973,1011
2011,NH,New Hampshire,1028,1068
2011,NJ,New Jersey,994,1030
2011,NM,New Mexico,1070,1111
2011,NY,New York,968,1002
2011,NC,North Carolina,987,1020
2011,ND,North Dakota,1162,1234
2011,OH,Ohio,1063,1108
2011,OK,Oklahoma,1110,1166
2011,OR,Oregon,1024,1064
2011,PA,Pennsylvania,976,1014
2011,PR,Puerto Rico,909,907
2011,RI,Rhode Island,969,1012
2011,SC,South Carolina,956,990
2011,SD,South Dakota,1125,1226
2011,TN,Tennessee,1123,1164
2011,TX,Texas,965,998
2011,UT,Utah,1105,1141
2011,VT,Vermont,1016,1054
2011,VI,Virgin Islands,775,809
2011,VA,Virginia,1003,1039
2011,WA,Washington,1034,1072
2011,WV,West Virginia,990,1045
2011,WI,Wisconsin,1173,1216
2011,WY,Wyoming,1131,1153
2012,AL,Alabama,1036,1111
2012,AK,Alaska,1002,1043
2012,AZ,Arizona,1022,1065
2012,AR,Arkansas,1108,1160
2012,CA,California,983,1037
2012,CO,Colorado,1136,1179
2012,CT,Connecticut,1001,1034
2012,DE,Delaware,910,926
2012,DC,District Of Columbia,882,976
2012,FL,Florida,968,1004
